timestamp, name, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu
2026/08/03 13:56:46.760, NVIDIA GeForce RTX 4090, P2, 66 %, 38 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.51 W, 450.00 W, 42
2026/08/03 13:56:46.966, NVIDIA GeForce RTX 4090, P2, 60 %, 33 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.43 W, 450.00 W, 42
2026/08/03 13:56:47.184, NVIDIA GeForce RTX 4090, P2, 67 %, 41 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.53 W, 450.00 W, 40
2026/08/03 13:56:47.405, NVIDIA GeForce RTX 4090, P2, 65 %, 41 %, 12937 MiB, 2775 MHz, 10451 MHz, 175.03 W, 450.00 W, 40
2026/08/03 13:56:47.626, NVIDIA GeForce RTX 4090, P2, 65 %, 38 %, 12937 MiB, 2775 MHz, 10451 MHz, 179.94 W, 450.00 W, 43
2026/08/03 13:56:47.847, NVIDIA GeForce RTX 4090, P2, 66 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 181.23 W, 450.00 W, 43
2026/08/03 13:56:48.071, NVIDIA GeForce RTX 4090, P2, 64 %, 39 %, 12937 MiB, 2775 MHz, 10451 MHz, 181.21 W, 450.00 W, 42
2026/08/03 13:56:48.288, NVIDIA GeForce RTX 4090, P2, 65 %, 40 %, 13971 MiB, 2775 MHz, 10451 MHz, 175.71 W, 450.00 W, 42
2026/08/03 13:56:48.504, NVIDIA GeForce RTX 4090, P2, 63 %, 31 %, 14711 MiB, 2775 MHz, 10451 MHz, 180.97 W, 450.00 W, 41
2026/08/03 13:56:48.725, NVIDIA GeForce RTX 4090, P2, 66 %, 40 %, 14711 MiB, 2775 MHz, 10451 MHz, 175.95 W, 450.00 W, 41
2026/08/03 13:56:48.944, NVIDIA GeForce RTX 4090, P2, 66 %, 39 %, 1377 MiB, 2775 MHz, 10451 MHz, 153.87 W, 450.00 W, 39
2026/08/03 13:56:49.158, NVIDIA GeForce RTX 4090, P2, 8 %, 0 %, 1343 MiB, 2775 MHz, 10451 MHz, 131.57 W, 450.00 W, 39
2026/08/03 13:56:49.362, NVIDIA GeForce RTX 4090, P2, 8 %, 0 %, 1343 MiB, 2775 MHz, 10451 MHz, 112.14 W, 450.00 W, 39
2026/08/03 13:56:49.567, NVIDIA GeForce RTX 4090, P0, 8 %, 0 %, 865 MiB, 2775 MHz, 10701 MHz, 91.09 W, 450.00 W, 38
2026/08/03 13:56:49.772, NVIDIA GeForce RTX 4090, P0, 8 %, 0 %, 865 MiB, 2775 MHz, 10701 MHz, 70.42 W, 450.00 W, 38
2026/08/03 13:56:49.975, NVIDIA GeForce RTX 4090, P0, 8 %, 0 %, 865 MiB, 2775 MHz, 10701 MHz, 63.72 W, 450.00 W, 38
2026/08/03 13:56:50.177, NVIDIA GeForce RTX 4090, P0, 8 %, 0 %, 866 MiB, 2775 MHz, 10701 MHz, 63.56 W, 450.00 W, 38
2026/08/03 13:56:50.380, NVIDIA GeForce RTX 4090, P0, 8 %, 0 %, 866 MiB, 2775 MHz, 10701 MHz, 63.59 W, 450.00 W, 38
2026/08/03 13:56:50.582, NVIDIA GeForce RTX 4090, P3, 8 %, 0 %, 866 MiB, 1005 MHz, 5001 MHz, 60.34 W, 450.00 W, 38
2026/08/03 13:56:50.790, NVIDIA GeForce RTX 4090, P3, 10 %, 0 %, 866 MiB, 930 MHz, 5001 MHz, 53.50 W, 450.00 W, 37
2026/08/03 13:56:51.008, NVIDIA GeForce RTX 4090, P3, 10 %, 0 %, 866 MiB, 870 MHz, 5001 MHz, 43.56 W, 450.00 W, 37
2026/08/03 13:56:51.211, NVIDIA GeForce RTX 4090, P3, 9 %, 0 %, 866 MiB, 765 MHz, 5001 MHz, 36.50 W, 450.00 W, 37
2026/08/03 13:56:51.413, NVIDIA GeForce RTX 4090, P3, 9 %, 0 %, 866 MiB, 705 MHz, 5001 MHz, 29.60 W, 450.00 W, 36
2026/08/03 13:56:51.616, NVIDIA GeForce RTX 4090, P3, 9 %, 0 %, 866 MiB, 660 MHz, 5001 MHz, 25.66 W, 450.00 W, 36
2026/08/03 13:56:51.828, NVIDIA GeForce RTX 4090, P3, 10 %, 0 %, 866 MiB, 615 MHz, 5001 MHz, 25.41 W, 450.00 W, 36
2026/08/03 13:56:52.030, NVIDIA GeForce RTX 4090, P3, 12 %, 0 %, 866 MiB, 585 MHz, 5001 MHz, 25.11 W, 450.00 W, 36
2026/08/03 13:56:52.233, NVIDIA GeForce RTX 4090, P3, 11 %, 0 %, 866 MiB, 540 MHz, 5001 MHz, 24.87 W, 450.00 W, 36
2026/08/03 13:56:52.437, NVIDIA GeForce RTX 4090, P3, 12 %, 0 %, 866 MiB, 510 MHz, 5001 MHz, 24.68 W, 450.00 W, 36
2026/08/03 13:56:52.641, NVIDIA GeForce RTX 4090, P3, 12 %, 0 %, 866 MiB, 480 MHz, 5001 MHz, 24.45 W, 450.00 W, 36
2026/08/03 13:56:52.844, NVIDIA GeForce RTX 4090, P3, 12 %, 0 %, 866 MiB, 450 MHz, 5001 MHz, 24.40 W, 450.00 W, 36
2026/08/03 13:56:53.059, NVIDIA GeForce RTX 4090, P3, 14 %, 0 %, 866 MiB, 420 MHz, 5001 MHz, 24.28 W, 450.00 W, 36
2026/08/03 13:56:53.275, NVIDIA GeForce RTX 4090, P3, 13 %, 0 %, 866 MiB, 375 MHz, 5001 MHz, 24.27 W, 450.00 W, 36
2026/08/03 13:56:53.482, NVIDIA GeForce RTX 4090, P3, 13 %, 0 %, 866 MiB, 360 MHz, 5001 MHz, 24.38 W, 450.00 W, 36
2026/08/03 13:56:53.686, NVIDIA GeForce RTX 4090, P3, 13 %, 0 %, 866 MiB, 330 MHz, 5001 MHz, 24.36 W, 450.00 W, 36
2026/08/03 13:56:53.893, NVIDIA GeForce RTX 4090, P5, 16 %, 0 %, 866 MiB, 315 MHz, 810 MHz, 24.36 W, 450.00 W, 36
2026/08/03 13:56:54.096, NVIDIA GeForce RTX 4090, P5, 24 %, 1 %, 866 MiB, 300 MHz, 810 MHz, 23.33 W, 450.00 W, 36
2026/08/03 13:56:54.299, NVIDIA GeForce RTX 4090, P5, 25 %, 1 %, 865 MiB, 300 MHz, 810 MHz, 22.12 W, 450.00 W, 36
2026/08/03 13:56:54.502, NVIDIA GeForce RTX 4090, P5, 26 %, 1 %, 864 MiB, 285 MHz, 810 MHz, 19.68 W, 450.00 W, 36
2026/08/03 13:56:54.725, NVIDIA GeForce RTX 4090, P5, 26 %, 1 %, 864 MiB, 270 MHz, 810 MHz, 17.80 W, 450.00 W, 36
2026/08/03 13:56:54.928, NVIDIA GeForce RTX 4090, P5, 29 %, 1 %, 864 MiB, 255 MHz, 810 MHz, 16.66 W, 450.00 W, 36
2026/08/03 13:56:55.138, NVIDIA GeForce RTX 4090, P5, 27 %, 1 %, 864 MiB, 255 MHz, 810 MHz, 15.62 W, 450.00 W, 36
2026/08/03 13:56:55.352, NVIDIA GeForce RTX 4090, P5, 27 %, 1 %, 864 MiB, 240 MHz, 810 MHz, 15.22 W, 450.00 W, 36
2026/08/03 13:56:55.577, NVIDIA GeForce RTX 4090, P5, 27 %, 1 %, 864 MiB, 225 MHz, 810 MHz, 14.64 W, 450.00 W, 36
2026/08/03 13:56:55.780, NVIDIA GeForce RTX 4090, P8, 45 %, 2 %, 864 MiB, 210 MHz, 405 MHz, 14.17 W, 450.00 W, 36
